Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team,Sales_Level
Cassin  ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Alimmethate Insudase,Analgesics,6,624,3744,January,2018,Morris Garcia,,Bravo,Low
Schuppe Inc ,Zemlak Group Pharmaceutical Limited,Koszalin,Poland,54.1903,16.1817,Hospital,Private,Clinolan Pitoletra,Mood Stabilizers,1,130,130,January,2018,Jessica Smith,,Delta,Low
Gottlieb-Cruickshank  ,Barton Ltd Pharma Plc,Czeladź,Poland,50.3333,19.0833,Hospital,Private,Interfedox Pilobamol,Antiseptics,2,41,82,January,2018,Anne Wu,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Vandervort LLC Pharma Plc,Łańcut,Poland,50.0687,22.2291,Pharmacy,Institution,Adideine,Mood Stabilizers,1,678,678,January,2018,Erica Jones,James Goodwill,Alfa,Low
Cassin  ,Haley PLC Pharmaceutical Limited,Opole,Poland,50.6722,,Pharmacy,Retail,Exotropin Empizine,Mood Stabilizers,30,785,23550,January,2018,Thompson Crawford,James Goodwill,Alfa,Medium
Smith Inc ,"Hills, Stroman and Ernser Pharm",Pułtusk,Poland,52.7025,21.0828,Hospital,Private,Insozyme,Antiseptics,2,655,1310,February,2018,Anne Wu,Britanny Bold,Delta,Low
Graham and Sons ,"Romaguera, Moen and Hagenes Pharmaceutical Limited",Sopot,Poland,54.4419,18.5478,Hospital,Private,Aquamycin Lacoran,Analgesics,2000,345,,February,2018,Erica Jones,James Goodwill,Alfa,High
Prohaska-Kuhic ,"Bogan, Jacobs and Kris Pharmacy",Lubartów,Poland,51.4667,22.6,Pharmacy,Institution,Ampinonide,Antimalarial,20,248,4960,February,2018,,Alisha Cordwell,Charlie,Low
Gottlieb-Cruickshank  ,Mante-Grady Pharm,Lubaczów,Poland,50.1556,23.123,Pharmacy,Institution,Victomine,Antimalarial,5,705,3525,February,2018,Jessica Smith,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Bayer LLC Pharmaceutical Ltd,Bytów,Poland,54.1667,17.5,Hospital,Private,Apromin,Antiseptics,6,375,2250,February,2018,Abigail Thompson,Tracy Banks,Bravo,Low
Beier  ,Mills Inc Pharma Plc,Bydgoszcz,Poland,53.1167,18,Hospital,Private,Magneprex,Antimalarial,960,187,179520,February,2018,Erica Jones,James Goodwill,Alfa,High
Gottlieb-Cruickshank  ,"Haag, Bradtke and Terry Pharmacy",Biała Podlaska,Poland,52.0333,23.1167,Hospital,Government,Effigine Propraprex,Antimalarial,300,377,113100,February,2018,Mary Gerrard,,Delta,High
Gottlieb-Cruickshank  ,Spencer-Jerde Pharmacy,Przeworsk,Poland,50.0591,22.4941,Pharmacy,Institution,Magneprex,Antimalarial,10,187,1870,February,2018,Daniel Gates,Alisha Cordwell,Charlie,Low
Schuppe Inc ,Monahan Ltd ,Oświęcim,Poland,,19.2333,Hospital,Government,Nevanide Actozide,Antibiotics,150,773,115950,February,2018,Stella Given,Alisha Cordwell,Charlie,High
Prohaska-Kuhic ,Purdy Ltd Pharmaceutical Limited,Głuchołazy,Poland,50.3131,17.3742,Hospital,Government,Tesnorphine Silotamine,Antibiotics,5,319,1595,February,2018,Daniel Gates,Alisha Cordwell,Charlie,Low
Smith Inc ,D'Amore and Sons ,Wągrowiec,Poland,52.8,17.2,Hospital,Private,Microroban Afatigomar,Antimalarial,5,478,2390,February,2018,Erica Jones,James Goodwill,Alfa,Low
Gottlieb-Cruickshank  ,Torp-Fisher Pharma Plc,Gorlice,Poland,49.6556,21.1604,Hospital,Government,Lactubucil,Antipiretics,3,585,1755,February,2018,Steve Pepple,Tracy Banks,Bravo,Low
Gottlieb-Cruickshank  ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Darlofen,Antipiretics,20,577,11540,February,2018,Anne Wu,Britanny Bold,Delta,Medium
Gottlieb-Cruickshank  ,Lesch PLC Pharmacy,Wrocław,Poland,51.1077,17.0353,Hospital,Private,Adideine,Mood Stabilizers,5,678,3390,February,2018,Steve Pepple,,Bravo,Low
Gottlieb-Cruickshank  ,Streich PLC Pharmaceutical Limited,Przemyśl,Poland,49.785,22.7673,Pharmacy,Institution,Thalilamide,Antibiotics,1,615,615,February,2018,Steve Pepple,Tracy Banks,Bravo,Low
Gottlieb-Cruickshank  ,"Steuber, Skiles and Kilback Pharma Plc",Sosnowiec,Poland,50.3,19.1667,Pharmacy,Retail,Albuterenone,Antimalarial,15,82,1230,February,2018,Morris Garcia,Tracy Banks,Bravo,Low
Gottlieb-Cruickshank  ,Feest-Roob Pharmaceutical Ltd,Wolsztyn,Poland,52.1167,16.1167,Pharmacy,Institution,Diprotaine,Antiseptics,2,318,636,February,2018,Sheila Stones,Britanny Bold,Delta,Low
Cassin  ,Crist Inc ,Stary Sącz,Poland,49.5625,20.6364,Hospital,Private,Ciclonazol,Antiseptics,,121,2178,February,2018,Thompson Crawford,James Goodwill,Alfa,Low
Gottlieb-Cruickshank  ,Miller-Satterfield Pharma Plc,Nidzica,Poland,53.3583,20.425,Hospital,Private,Arivac,Antimalarial,4,567,2268,February,2018,Sheila Stones,Britanny Bold,Delta,Low
Smith Inc ,"Romaguera, Moen and Hagenes Pharmaceutical Limited",Sopot,Poland,54.4419,18.5478,Hospital,Private,Belavarix Benzabicin,Antibiotics,6,131,786,February,2018,Thompson Crawford,James Goodwill,Alfa,Low
Prohaska-Kuhic ,"Zieme, Doyle and Kunze ",Lublin,Poland,51.2333,22.5667,Hospital,Private,Propratecan,Antimalarial,30,682,20460,February,2018,Abigail Thompson,,Bravo,Medium
Smith Inc ,Rohan PLC Pharmaceutical Limited,Krynica,Poland,49.4222,20.9594,Pharmacy,Retail,Exotropin Empizine,Mood Stabilizers,,785,785,February,2018,Mary Gerrard,Britanny Bold,Delta,Medium
Prohaska-Kuhic ,Hartmann-Wolf ,Trzebnica,Poland,51.305,17.0614,Hospital,Government,Nisorase,Antibiotics,10,393,3930,February,2018,Jessica Smith,Britanny Bold,Delta,Low
Rohan   ,"Casper, Hyatt and Jakubowski Pharmaceutical Limited",Otwock,Poland,52.1167,21.2667,Hospital,Government,Cortirodine Alimcline,Antipiretics,20,128,2560,February,2018,Abigail Thompson,Tracy Banks,Bravo,Low
Prohaska-Kuhic ,"Lebsack, Yost and Heller Pharmaceutical Limited",Wieliczka,Poland,49.9894,20.0661,Pharmacy,Institution,Antaparin Varizyme,Mood Stabilizers,3,513,1539,February,2018,Jessica Smith,,Delta,Low
Smith Inc ,"Schmitt, Berge and Haley Pharma Plc",Kłodzko,Poland,50.4378,16.6528,Hospital,Private,Enzastryl,Antiseptics,4,26,104,February,2018,Abigail Thompson,Tracy Banks,Bravo,Low
Prohaska-Kuhic ,"Harris, Daugherty and Okuneva Pharma Plc",Krotoszyn,Poland,51.697,17.4357,Pharmacy,Retail,Docstryl Rivacin,Antiseptics,10,789,7890,February,2018,Thompson Crawford,James Goodwill,Alfa,Low
Gottlieb-Cruickshank  ,Kutch-Marks Pharm,Chełm,Poland,51.1333,23.4833,Hospital,Private,Dexmeprazole Transnuvia,Mood Stabilizers,20,180,3600,February,2018,Steve Pepple,Tracy Banks,Bravo,Low
Smith Inc ,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail,Primapion,Antibiotics,1,492,,February,2018,Jessica Smith,,Delta,Low
Smith Inc ,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Grudziądz,Poland,53.4925,18.7761,Pharmacy,Retail,Duraprazole Agalsixolol,Antiseptics,5,375,1875,February,2018,Mary Gerrard,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Boyer and Sons Pharmaceutical Limited,Wałcz,Poland,53.2667,16.4667,Hospital,Government,Amavirase,Antipiretics,,487,4870,February,2018,Jimmy Grey,,Charlie,Medium
Prohaska-Kuhic ,"Kshlerin, Ryan and Leuschke Pharma Plc",Zielona Góra,Poland,51.9397,15.505,Hospital,Government,Bexridol,Antipiretics,1,80,80,February,2018,Daniel Gates,Alisha Cordwell,Charlie,Low
Beier  ,Raynor-Graham Pharmaceutical Limited,Gorzów Wielkopolski,Poland,52.7333,15.25,Pharmacy,Institution,Symbitrim,Analgesics,10,536,5360,February,2018,Mary Gerrard,Britanny Bold,Delta,Low
Gottlieb-Cruickshank  ,Purdy Ltd Pharmaceutical Limited,Głuchołazy,Poland,50.3131,,Hospital,Government,Interzide,Antimalarial,2,420,840,February,2018,Mary Gerrard,Britanny Bold,Delta,Low
Cassin  ,Spencer-Jerde Pharmacy,Przeworsk,Poland,50.0591,22.4941,Pharmacy,Institution,Ribabyclor,Antiseptics,20,469,9380,February,2018,Jimmy Grey,Alisha Cordwell,Charlie,Medium
Smith Inc ,"Hills, Stroman and Ernser Pharm",Pułtusk,Poland,52.7025,21.0828,Hospital,Private,Ergomethate,Mood Stabilizers,10,604,6040,February,2018,Erica Jones,James Goodwill,Alfa,Low
Gottlieb-Cruickshank  ,"Gleichner, Bahringer and Morar Pharma Plc",Gostynin,Poland,52.4167,19.4667,Hospital,Private,Benzoprox,Antiseptics,120,284,34080,February,2018,Thompson Crawford,James Goodwill,Alfa,High
Gottlieb-Cruickshank  ,Schaden-Hirthe Pharmaceutical Ltd,Świdnica,Poland,50.8438,16.4886,Pharmacy,Institution,Robapril,Antipiretics,3,453,1359,February,2018,Jessica Smith,Britanny Bold,Delta,Low
Prohaska-Kuhic ,Heller-Abernathy ,Brzeg Dolny,Poland,51.273,16.7081,Hospital,Private,Ibruferon,Antiseptics,10,82,820,February,2018,Jimmy Grey,Alisha Cordwell,Charlie,Low
Gottlieb-Cruickshank  ,Pfeffer-Hodkiewicz Pharmaceutical Ltd,Szczytno,Poland,53.5628,20.9853,Hospital,Government,Acubulin,Antipiretics,20,490,9800,February,2018,Alan Ray,James Goodwill,Alfa,Medium
Prohaska-Kuhic ,Waelchi LLC Pharmacy,Katowice,Poland,50.25,19,Hospital,Government,Symdocet,Antipiretics,30,470,14100,February,2018,Abigail Thompson,Tracy Banks,Bravo,Medium
Prohaska-Kuhic ,"McClure, Zemlak and Dibbert Pharmaceutical Limited",Kórnik,Poland,52.2367,17.0986,Hospital,Private,Clindaracil,Analgesics,288,173,49824,February,2018,Erica Jones,James Goodwill,Alfa,High
Prohaska-Kuhic ,Feest PLC ,Świecie,Poland,53.4167,18.4333,Pharmacy,Retail,Palodizem,Mood Stabilizers,1,201,201,February,2018,Jimmy Grey,Alisha Cordwell,Charlie,Low
Smith Inc ,Stehr-Champlin Pharmaceutical Limited,Nowe Miasto Lubawskie,Poland,53.4167,19.5833,Hospital,Government,Temasone Thiobucil,Antimalarial,10,482,4820,February,2018,Steve Pepple,Tracy Banks,Bravo,Low
Smith Inc ,Mante-Grady Pharm,Lubaczów,Poland,50.1556,23.123,Pharmacy,Institution,Acantaine,Antibiotics,40,66,2640,February,2018,Erica Jones,,Alfa,Low
Prohaska-Kuhic ,Funk and Sons Pharmaceutical Limited,Tarnobrzeg,Poland,50.5833,21.6833,Pharmacy,Retail,Nevanide Actozide,Antibiotics,,773,,February,2018,,Britanny Bold,Delta,Medium
