Distributor,Customer Name,City,Country,Latitude,Longitude,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year,Name of Sales Rep,Manager,Sales Team,Sales_Level,Sales_Performance,High_Sales_Flag
Prohaska-Kuhic ,Lindgren-Simonis Pharm,Biskupiec,Poland,53.8647,20.9569,Pharmacy,Retail,Afluferon Entrarenone,Antimalarial,5.0,104,520.0,January,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
Prohaska-Kuhic ,"Denesik, Walter and Beatty Pharma Plc",Ostrów Mazowiecka,Poland,52.8,21.9,Pharmacy,Institution,Sumanazole,Analgesics,100.0,529,,January,2018,Sheila Stones,Britanny Bold,Delta,Altas,Alto,1
Smith Inc ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Exotropin Empizine,Mood Stabilizers,2.0,785,1570.0,January,2018,Anne Wu,,Delta,Medias,Bajo,0
Beier  ,Prohaska-Kuhic Pharmacy,Wisła,Poland,49.6667,18.8667,Pharmacy,Institution,Feruprazole,Mood Stabilizers,5.0,115,575.0,January,2018,Anne Wu,Britanny Bold,Delta,Bajas,Bajo,0
Beier  ,Hermiston LLC ,Strzegom,Poland,51.0,16.3333,Pharmacy,Institution,Travoloride,Antiseptics,30.0,785,23550.0,January,2018,Anne Wu,Britanny Bold,Delta,Altas,Alto,0
Gottlieb-Cruickshank  ,Hermiston LLC ,Strzegom,Poland,,16.3333,Pharmacy,Institution,Cyclovital,Antimalarial,30.0,677,20310.0,January,2018,Anne Wu,,Delta,Altas,Alto,0
Schuppe Inc ,Spencer-Jerde Pharmacy,Przeworsk,Poland,50.0591,22.4941,Pharmacy,Institution,Travosoline Capolac,Antipiretics,3.0,610,,January,2018,Mary Gerrard,Britanny Bold,Delta,Medias,Bajo,0
Gottlieb-Cruickshank  ,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail,Acelimus,Analgesics,1.0,746,746.0,January,2018,Sheila Stones,Britanny Bold,Delta,Bajas,Bajo,0
Gottlieb-Cruickshank  ,"Herman, Rice and Rippin ",Ziębice,Poland,50.6,17.0444,Hospital,Government,Presetron,Mood Stabilizers,30.0,216,6480.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Altas,Alto,0
Beier  ,Romaguera-Fay Pharmaceutical Limited,Trzemeszno,Poland,52.5614,17.8231,Pharmacy,Retail,Lansopril Acribax,Antipiretics,36.0,492,17712.0,January,2018,Alan Ray,James Goodwill,Alfa,Altas,Alto,0
Gottlieb-Cruickshank  ,Jast-Cruickshank Pharma Plc,Białystok,Poland,53.1167,23.1667,Pharmacy,Retail,Panpion,Antiseptics,1.0,692,,January,2018,Sheila Stones,,Delta,Bajas,Bajo,0
Smith Inc ,Hansen Group Pharm,Gryfów Śląski,Poland,51.0308,15.4202,Hospital,Private,Albudazole Erobloc,Antiseptics,4.0,563,2252.0,January,2018,Anne Wu,Britanny Bold,Delta,Medias,Bajo,0
Prohaska-Kuhic ,Nader-Borer Pharma Plc,Bielawa,Poland,50.6908,16.623,Pharmacy,Retail,Adriacaine,Mood Stabilizers,10.0,361,3610.0,January,2018,Abigail Thompson,Tracy Banks,Bravo,Medias,Bajo,0
Gottlieb-Cruickshank  ,Crist Inc ,Stary Sącz,Poland,49.5625,20.6364,Hospital,Private,Angioparin Brimosumab,Mood Stabilizers,2.0,682,1364.0,January,2018,,Alisha Cordwell,Charlie,Medias,Bajo,0
Smith Inc ,Buckridge-Davis ,Legnica,Poland,51.2101,16.1619,Hospital,Private,Cephovelam,Mood Stabilizers,4.0,542,2168.0,January,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,"Beer, Kohler and Beatty Pharmaceutical Ltd",Rypin,Poland,53.0667,19.45,Pharmacy,Retail,Diprolimus,Antiseptics,20.0,634,,January,2018,Erica Jones,James Goodwill,Alfa,Altas,Alto,0
Gottlieb-Cruickshank  ,Bayer LLC Pharmaceutical Ltd,Bytów,Poland,54.1667,17.5,Hospital,Private,Methiclotide,Antibiotics,4.0,458,1832.0,January,2018,Mary Gerrard,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,Lemke Ltd Pharm,Tarnów,Poland,,20.9883,Hospital,Private,Rositroban,Mood Stabilizers,40.0,481,19240.0,January,2018,Morris Garcia,Tracy Banks,Bravo,Altas,Alto,0
Gottlieb-Cruickshank  ,"Johnson, Friesen and Torphy Pharma Plc",Gryfino,Poland,53.2524,14.4883,Hospital,Government,Rebedase Aplencor,Mood Stabilizers,1.0,180,180.0,January,2018,,Britanny Bold,Delta,Bajas,Bajo,0
Prohaska-Kuhic ,"Beahan, Littel and Ondricka Pharmacy",Łęczyca,Poland,52.0583,19.2,Pharmacy,Institution,Insozyme,Antiseptics,2.0,655,,January,2018,Alan Ray,James Goodwill,Alfa,Medias,Bajo,0
Prohaska-Kuhic ,Parisian Ltd Pharm,Jelenia Góra,Poland,50.9,15.7333,Pharmacy,Institution,Diazemid Felcept,Analgesics,2.0,613,1226.0,January,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Gottlieb-Cruickshank  ,"Bogan, Jacobs and Kris Pharmacy",Lubartów,Poland,51.4667,22.6,Pharmacy,Institution,Microroban Afatigomar,Antimalarial,1.0,478,478.0,January,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
Smith Inc ,Haley PLC Pharmaceutical Limited,Opole,Poland,50.6722,17.9253,Pharmacy,Retail,Xenaminphen,Antimalarial,,195,4680.0,January,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,Veum-Kerluke Pharmacy,Człuchów,Poland,53.65,17.3667,Pharmacy,Retail,Cricane Acamsumab,Antiseptics,20.0,22,440.0,January,2018,Abigail Thompson,Tracy Banks,Bravo,Bajas,Bajo,0
Prohaska-Kuhic ,Balistreri-Watsica Pharmacy,Ełk,Poland,53.8167,22.35,Pharmacy,Retail,Bexridol,Antipiretics,4.0,80,320.0,January,2018,Morris Garcia,Tracy Banks,Bravo,Bajas,Bajo,0
Gottlieb-Cruickshank  ,"Upton, Abernathy and Goodwin Pharmaceutical Ltd",Jarosław,Poland,50.0162,22.6778,Hospital,Government,Lansopril Acribax,Antipiretics,12.0,492,,January,2018,Jessica Smith,Britanny Bold,Delta,Altas,Alto,0
Smith Inc ,Balistreri-Watsica Pharmacy,Ełk,Poland,53.8167,22.35,Pharmacy,Retail,Symdocet,Antipiretics,200.0,470,94000.0,January,2018,Thompson Crawford,James Goodwill,Alfa,Altas,Alto,1
Gottlieb-Cruickshank  ,"Moen, Murazik and Smith ",Siedlce,Poland,,22.2833,Pharmacy,Retail,Aquamycin Lacoran,Analgesics,2.0,345,690.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Bajas,Bajo,0
Gottlieb-Cruickshank  ,"Wunsch, Mills and Walter ",Kielce,Poland,50.8725,20.6319,Pharmacy,Institution,Ampinonide,Antimalarial,4.0,248,992.0,January,2018,Anne Wu,Britanny Bold,Delta,Bajas,Bajo,0
Prohaska-Kuhic ,Hermiston and Sons Pharma Plc,Bochnia,Poland,49.9833,20.4333,Pharmacy,Institution,Penitrana,Analgesics,54.0,179,9666.0,January,2018,Morris Garcia,Tracy Banks,Bravo,Altas,Alto,0
Gottlieb-Cruickshank  ,"Reynolds, Jast and Mante Pharma Plc",Pleszew,Poland,51.8974,17.7856,Pharmacy,Institution,Adtiza Gammaluble,Antibiotics,4.0,452,1808.0,January,2018,Thompson Crawford,James Goodwill,Alfa,Medias,Bajo,0
Gottlieb-Cruickshank  ,Schaefer Group Pharmaceutical Limited,Ustroń,Poland,49.7167,18.8167,Hospital,Government,Acubulin,Antipiretics,24.0,490,11760.0,January,2018,Sheila Stones,Britanny Bold,Delta,Altas,Alto,0
Prohaska-Kuhic ,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail,Lioletine Refliruvax,Analgesics,,435,4350.0,January,2018,Thompson Crawford,James Goodwill,Alfa,Medias,Bajo,0
Prohaska-Kuhic ,Ritchie-Rodriguez Pharm,Łuków,Poland,,,Pharmacy,Retail,Lactubucil,Antipiretics,5.0,585,2925.0,January,2018,Mary Gerrard,Britanny Bold,Delta,Medias,Bajo,0
Prohaska-Kuhic ,Feest-Kshlerin Pharmaceutical Ltd,Świdnik,Poland,51.2333,22.7,Pharmacy,Institution,Liomulin,Mood Stabilizers,2.0,490,980.0,January,2018,Thompson Crawford,James Goodwill,Alfa,Bajas,Bajo,0
Beier  ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Algluconium Dorzofoxin,Antibiotics,,611,12220.0,January,2018,Anne Wu,Britanny Bold,Delta,Altas,Alto,0
Smith Inc ,Botsford PLC Pharmacy,Pabianice,Poland,51.6642,19.35,Pharmacy,Institution,Antilamin Clinbital,Antibiotics,,664,6640.0,January,2018,Stella Given,Alisha Cordwell,Charlie,Altas,Alto,0
Rohan   ,Kunze PLC Pharm,Darłowo,Poland,54.4167,16.4167,Hospital,Private,Palodizem,Mood Stabilizers,12.0,201,2412.0,January,2018,Erica Jones,James Goodwill,Alfa,Medias,Bajo,0
Cassin  ,Buckridge-Davis ,Legnica,Poland,51.2101,16.1619,Hospital,Private,Ergomethate,Mood Stabilizers,10.0,604,6040.0,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Altas,Alto,0
Prohaska-Kuhic ,Fritsch-Hauck Pharma Plc,Mysłowice,Poland,50.2333,,Hospital,Government,Alisteride Pemidizem,Antiseptics,5.0,35,175.0,January,2018,Erica Jones,James Goodwill,Alfa,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Kreiger Inc Pharma Plc,Mielec,Poland,50.2833,21.4333,Hospital,Private,Relenvice,Antimalarial,2.0,459,918.0,January,2018,Morris Garcia,Tracy Banks,Bravo,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Schulist-Zulauf Pharm,Tychy,Poland,50.1667,19.0,Hospital,Private,Cricane Acamsumab,Antiseptics,10.0,22,220.0,January,2018,Erica Jones,James Goodwill,Alfa,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Koch-Osinski Pharm,Sandomierz,Poland,,21.75,Hospital,Government,Bexridol,Antipiretics,5.0,80,400.0,January,2018,Stella Given,,Charlie,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Bayer LLC Pharmaceutical Ltd,Bytów,Poland,54.1667,17.5,Hospital,Private,Adtiza Gammaluble,Antibiotics,6.0,452,,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Medias,Bajo,0
Gottlieb-Cruickshank  ,Roob PLC ,Świedbodzin,Poland,52.25,15.5333,Pharmacy,Institution,Acantaine,Antibiotics,,66,198.0,January,2018,Sheila Stones,Britanny Bold,Delta,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Romaguera-Fay Pharmaceutical Limited,Trzemeszno,Poland,52.5614,17.8231,Pharmacy,Retail,Insozyme,Antiseptics,50.0,655,,January,2018,Erica Jones,James Goodwill,Alfa,Altas,Alto,0
Prohaska-Kuhic ,Stehr-Champlin Pharmaceutical Limited,Nowe Miasto Lubawskie,Poland,53.4167,19.5833,Hospital,Government,Abtasol,Antiseptics,,754,1508.0,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Medias,Bajo,0
Cassin  ,"Hirthe, Williamson and Macejkovic Pharma Plc",Brzeg,Poland,50.8667,17.4833,Hospital,Government,Sevotrana Tiafoxin,Analgesics,10.0,460,4600.0,January,2018,Morris Garcia,Tracy Banks,Bravo,Medias,Bajo,0
Smith Inc ,Schaden-Hirthe Pharmaceutical Ltd,Świdnica,Poland,50.8438,16.4886,Pharmacy,Institution,Brimorix Amonine,Antibiotics,2.0,398,796.0,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Bajas,Bajo,0
Rohan   ,Rohan Inc ,Chojnów,Poland,51.2667,15.9333,Pharmacy,Institution,Alemtuvatol Megalinum,Analgesics,150.0,682,102300.0,January,2018,Sheila Stones,Britanny Bold,Delta,Altas,Alto,1
Smith Inc ,Runte-Marquardt Pharmaceutical Ltd,Olecko,Poland,54.0333,22.5,Hospital,Private,Lovavatol Azelavarix,Mood Stabilizers,2.0,106,212.0,January,2018,Abigail Thompson,Tracy Banks,Bravo,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Okuneva-Corkery ,Kostrzyn nad Odrą,Poland,52.5883,14.6667,Hospital,Government,Lactubucil,Antipiretics,1.0,585,585.0,January,2018,,Alisha Cordwell,Charlie,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Welch-Langworth ,Warsaw,Poland,52.2167,,Pharmacy,Retail,Menogine,Antiseptics,2.0,742,1484.0,January,2018,Thompson Crawford,James Goodwill,Alfa,Medias,Bajo,0
Beier  ,Lesch PLC Pharmacy,Wrocław,Poland,51.1077,17.0353,Hospital,Private,Robapril,Antipiretics,480.0,453,217440.0,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Altas,Alto,1
Prohaska-Kuhic ,Denesik-Hintz Pharm,Międzyrzec Podlaski,Poland,51.9833,22.8,Pharmacy,Retail,Neuropogen Empibax,Analgesics,3.0,605,1815.0,January,2018,Thompson Crawford,James Goodwill,Alfa,Medias,Bajo,0
Gottlieb-Cruickshank  ,Bashirian-Kassulke Pharma Plc,Kraków,Poland,50.0614,19.9372,Hospital,Private,Insozyme,Antiseptics,1.0,655,655.0,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Bajas,Bajo,0
Cassin  ,"Upton, Abernathy and Goodwin Pharmaceutical Ltd",Jarosław,Poland,50.0162,22.6778,Hospital,Government,Primatate Univatol,Mood Stabilizers,30.0,172,,January,2018,Jimmy Grey,Alisha Cordwell,Charlie,Altas,Bajo,0
Gottlieb-Cruickshank  ,Kreiger Inc Pharma Plc,Mielec,Poland,50.2833,21.4333,Hospital,Private,Afluferon Entrarenone,Antimalarial,10.0,104,1040.0,January,2018,Morris Garcia,Tracy Banks,Bravo,Medias,Bajo,0
Prohaska-Kuhic ,"Erdman, Senger and Oberbrunner Pharm",Rawa Mazowiecka,Poland,51.7667,20.25,Pharmacy,Retail,Thalilamide,Antibiotics,10.0,615,6150.0,January,2018,Daniel Gates,Alisha Cordwell,Charlie,Altas,Alto,0
Smith Inc ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Apronazol,Antibiotics,200.0,472,94400.0,January,2018,Jimmy Grey,Alisha Cordwell,Charlie,Altas,Alto,1
Beier  ,Rohan Inc ,Chojnów,Poland,51.2667,15.9333,Pharmacy,Institution,Diprotaine,Antiseptics,20.0,318,6360.0,January,2018,Morris Garcia,Tracy Banks,Bravo,Altas,Alto,0
Prohaska-Kuhic ,Mills Inc Pharma Plc,Bydgoszcz,Poland,53.1167,18.0,Hospital,Private,Magneprex,Antimalarial,6.0,187,1122.0,January,2018,Anne Wu,Britanny Bold,Delta,Medias,Bajo,0
Cassin  ,"Moen, Murazik and Smith ",Siedlce,Poland,52.1833,22.2833,Pharmacy,Retail,Alimmethate Insudase,Analgesics,6.0,624,3744.0,January,2018,Morris Garcia,Tracy Banks,Bravo,Medias,Bajo,0
Schuppe Inc ,Zemlak Group Pharmaceutical Limited,Koszalin,Poland,54.1903,16.1817,Hospital,Private,Clinolan Pitoletra,Mood Stabilizers,,130,130.0,January,2018,Jessica Smith,Britanny Bold,Delta,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Barton Ltd Pharma Plc,Czeladź,Poland,50.3333,19.0833,Hospital,Private,Interfedox Pilobamol,Antiseptics,2.0,41,82.0,January,2018,Anne Wu,Britanny Bold,Delta,Bajas,Bajo,0
Gottlieb-Cruickshank  ,Vandervort LLC Pharma Plc,Łańcut,Poland,50.0687,22.2291,Pharmacy,Institution,Adideine,Mood Stabilizers,1.0,678,,January,2018,Erica Jones,James Goodwill,Alfa,Bajas,Bajo,0
Cassin  ,Haley PLC Pharmaceutical Limited,Opole,Poland,50.6722,17.9253,Pharmacy,Retail,Exotropin Empizine,Mood Stabilizers,30.0,785,23550.0,January,2018,Thompson Crawford,James Goodwill,Alfa,Altas,Alto,0
Smith Inc ,"Hills, Stroman and Ernser Pharm",Pułtusk,Poland,52.7025,21.0828,Hospital,Private,Insozyme,Antiseptics,2.0,655,1310.0,February,2018,Anne Wu,,Delta,Medias,Bajo,0
Graham and Sons ,"Romaguera, Moen and Hagenes Pharmaceutical Limited",Sopot,Poland,54.4419,18.5478,Hospital,Private,Aquamycin Lacoran,Analgesics,2000.0,345,690000.0,February,2018,Erica Jones,,Alfa,Altas,Alto,1
Prohaska-Kuhic ,"Bogan, Jacobs and Kris Pharmacy",Lubartów,Poland,51.4667,22.6,Pharmacy,Institution,Ampinonide,Antimalarial,20.0,248,4960.0,February,2018,Stella Given,Alisha Cordwell,Charlie,Medias,Bajo,0
Gottlieb-Cruickshank  ,Mante-Grady Pharm,Lubaczów,Poland,50.1556,23.123,Pharmacy,Institution,Victomine,Antimalarial,5.0,705,3525.0,February,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Gottlieb-Cruickshank  ,Bayer LLC Pharmaceutical Ltd,Bytów,Poland,54.1667,17.5,Hospital,Private,Apromin,Antiseptics,6.0,375,2250.0,February,2018,Abigail Thompson,Tracy Banks,Bravo,Medias,Bajo,0
Beier  ,Mills Inc Pharma Plc,Bydgoszcz,Poland,53.1167,18.0,Hospital,Private,Magneprex,Antimalarial,960.0,187,179520.0,February,2018,Erica Jones,James Goodwill,Alfa,Altas,Alto,1
Gottlieb-Cruickshank  ,"Haag, Bradtke and Terry Pharmacy",Biała Podlaska,Poland,52.0333,23.1167,Hospital,Government,Effigine Propraprex,Antimalarial,300.0,377,,February,2018,Mary Gerrard,Britanny Bold,Delta,Altas,Alto,1
Gottlieb-Cruickshank  ,Spencer-Jerde Pharmacy,Przeworsk,Poland,50.0591,22.4941,Pharmacy,Institution,Magneprex,Antimalarial,10.0,187,1870.0,February,2018,Daniel Gates,Alisha Cordwell,Charlie,Medias,Bajo,0
Schuppe Inc ,Monahan Ltd ,Oświęcim,Poland,50.0333,19.2333,Hospital,Government,Nevanide Actozide,Antibiotics,150.0,773,115950.0,February,2018,Stella Given,Alisha Cordwell,Charlie,Altas,Alto,1
Prohaska-Kuhic ,Purdy Ltd Pharmaceutical Limited,Głuchołazy,Poland,50.3131,17.3742,Hospital,Government,Tesnorphine Silotamine,Antibiotics,5.0,319,1595.0,February,2018,Daniel Gates,Alisha Cordwell,Charlie,Medias,Bajo,0
Smith Inc ,D'Amore and Sons ,Wągrowiec,Poland,52.8,17.2,Hospital,Private,Microroban Afatigomar,Antimalarial,5.0,478,2390.0,February,2018,Erica Jones,,Alfa,Medias,Bajo,0
Gottlieb-Cruickshank  ,Torp-Fisher Pharma Plc,Gorlice,Poland,49.6556,21.1604,Hospital,Government,Lactubucil,Antipiretics,3.0,585,,February,2018,Steve Pepple,Tracy Banks,Bravo,Medias,Bajo,0
Gottlieb-Cruickshank  ,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government,Darlofen,Antipiretics,20.0,577,11540.0,February,2018,Anne Wu,Britanny Bold,Delta,Altas,Alto,0
Gottlieb-Cruickshank  ,Lesch PLC Pharmacy,Wrocław,Poland,51.1077,17.0353,Hospital,Private,Adideine,Mood Stabilizers,5.0,678,3390.0,February,2018,Steve Pepple,Tracy Banks,Bravo,Medias,Bajo,0
Gottlieb-Cruickshank  ,Streich PLC Pharmaceutical Limited,Przemyśl,Poland,49.785,22.7673,Pharmacy,Institution,Thalilamide,Antibiotics,1.0,615,615.0,February,2018,Steve Pepple,Tracy Banks,Bravo,Bajas,Bajo,0
Gottlieb-Cruickshank  ,"Steuber, Skiles and Kilback Pharma Plc",Sosnowiec,Poland,50.3,19.1667,Pharmacy,Retail,Albuterenone,Antimalarial,15.0,82,1230.0,February,2018,Morris Garcia,Tracy Banks,Bravo,Medias,Bajo,0
Gottlieb-Cruickshank  ,Feest-Roob Pharmaceutical Ltd,Wolsztyn,Poland,52.1167,16.1167,Pharmacy,Institution,Diprotaine,Antiseptics,2.0,318,,February,2018,Sheila Stones,Britanny Bold,Delta,Bajas,Bajo,0
Cassin  ,Crist Inc ,Stary Sącz,Poland,49.5625,20.6364,Hospital,Private,Ciclonazol,Antiseptics,18.0,121,2178.0,February,2018,,James Goodwill,Alfa,Medias,Bajo,0
Gottlieb-Cruickshank  ,Miller-Satterfield Pharma Plc,Nidzica,Poland,53.3583,,Hospital,Private,Arivac,Antimalarial,4.0,567,2268.0,February,2018,Sheila Stones,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,"Romaguera, Moen and Hagenes Pharmaceutical Limited",Sopot,Poland,54.4419,18.5478,Hospital,Private,Belavarix Benzabicin,Antibiotics,6.0,131,786.0,February,2018,Thompson Crawford,James Goodwill,Alfa,Bajas,Bajo,0
Prohaska-Kuhic ,"Zieme, Doyle and Kunze ",Lublin,Poland,51.2333,22.5667,Hospital,Private,Propratecan,Antimalarial,30.0,682,20460.0,February,2018,Abigail Thompson,Tracy Banks,Bravo,Altas,Alto,0
Smith Inc ,Rohan PLC Pharmaceutical Limited,Krynica,Poland,49.4222,20.9594,Pharmacy,Retail,Exotropin Empizine,Mood Stabilizers,1.0,785,785.0,February,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
Prohaska-Kuhic ,Hartmann-Wolf ,Trzebnica,Poland,51.305,17.0614,Hospital,Government,Nisorase,Antibiotics,10.0,393,3930.0,February,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Rohan   ,"Casper, Hyatt and Jakubowski Pharmaceutical Limited",Otwock,Poland,52.1167,21.2667,Hospital,Government,Cortirodine Alimcline,Antipiretics,20.0,128,2560.0,February,2018,Abigail Thompson,Tracy Banks,Bravo,Medias,Bajo,0
Prohaska-Kuhic ,"Lebsack, Yost and Heller Pharmaceutical Limited",Wieliczka,Poland,49.9894,20.0661,Pharmacy,Institution,Antaparin Varizyme,Mood Stabilizers,3.0,513,1539.0,February,2018,Jessica Smith,Britanny Bold,Delta,Medias,Bajo,0
Smith Inc ,"Schmitt, Berge and Haley Pharma Plc",Kłodzko,Poland,50.4378,16.6528,Hospital,Private,Enzastryl,Antiseptics,4.0,26,104.0,February,2018,Abigail Thompson,Tracy Banks,Bravo,Bajas,Bajo,0
Prohaska-Kuhic ,"Harris, Daugherty and Okuneva Pharma Plc",Krotoszyn,Poland,51.697,17.4357,Pharmacy,Retail,Docstryl Rivacin,Antiseptics,10.0,789,7890.0,February,2018,Thompson Crawford,James Goodwill,Alfa,Altas,Alto,0
Gottlieb-Cruickshank  ,Kutch-Marks Pharm,Chełm,Poland,51.1333,23.4833,Hospital,Private,Dexmeprazole Transnuvia,Mood Stabilizers,20.0,180,3600.0,February,2018,Steve Pepple,Tracy Banks,Bravo,Medias,Bajo,0
Smith Inc ,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail,Primapion,Antibiotics,1.0,492,492.0,February,2018,Jessica Smith,Britanny Bold,Delta,Bajas,Bajo,0
Smith Inc ,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Grudziądz,Poland,53.4925,18.7761,Pharmacy,Retail,Duraprazole Agalsixolol,Antiseptics,5.0,375,1875.0,February,2018,,Britanny Bold,Delta,Medias,Bajo,0
Gottlieb-Cruickshank  ,Boyer and Sons Pharmaceutical Limited,Wałcz,Poland,53.2667,16.4667,Hospital,Government,Amavirase,Antipiretics,,487,4870.0,February,2018,Jimmy Grey,Alisha Cordwell,Charlie,Medias,Bajo,0
Prohaska-Kuhic ,"Kshlerin, Ryan and Leuschke Pharma Plc",Zielona Góra,Poland,51.9397,15.505,Hospital,Government,Bexridol,Antipiretics,1.0,80,80.0,February,2018,Daniel Gates,Alisha Cordwell,Charlie,Bajas,Bajo,0
Beier  ,Raynor-Graham Pharmaceutical Limited,Gorzów Wielkopolski,Poland,,15.25,Pharmacy,Institution,Symbitrim,Analgesics,10.0,536,5360.0,February,2018,Mary Gerrard,Britanny Bold,Delta,Altas,Bajo,0
Gottlieb-Cruickshank  ,Purdy Ltd Pharmaceutical Limited,Głuchołazy,Poland,50.3131,17.3742,Hospital,Government,Interzide,Antimalarial,2.0,420,840.0,February,2018,Mary Gerrard,Britanny Bold,Delta,Bajas,Bajo,0
